term,match,file,line,category,action,context
CTC,ctc-flowlogic-adapter,module-manifest.json,25,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,"""id"": ""ctc-flowlogic-adapter"","
CTC,CTC,module-manifest.json,26,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,"""title"": ""CTC FlowLogic Adapter"","
CTC,ctc-flowlogic-adapter,module-manifest.json,28,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,"""file"": ""js/modules/ctc-flowlogic-adapter.js"","
CTC,ctc-only,module-manifest.json,31,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,"""scope"": ""simulation-it-ctc-only"","
CTC,CTC,module-manifest.json,32,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,"""description"": ""Integriert FlowLogic ausschließlich in Simulation → IT/FISI → CTC mit 13-Minuten-Wenn-Dann-Ablaufaufgabe."""
CTC,ctc-only,module-manifest.json,40,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,"""status"": ""integrated-ctc-only"","
CTC,ctc-only,module-manifest.json,41,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,"""scope"": ""simulation-it-ctc-only"""
CTC,CTC,module-manifest.json,283,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,"""getQuestionNavTotal for adaptive/CTC total calculation"","
CTC,ctcLohr,module-manifest.json,362,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,"""question generation and ctcLohr block assembly"","
CTC,ctcLohr,module-manifest.json,386,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,"""it"": ""ctcLohr"","
BPS,bps,module-manifest.json,387,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,"""kaufm"": ""bps"","
BPS,bps,module-manifest.json,388,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,"""sozial"": ""bps"","
CTC,CTC,module-manifest.json,672,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,"""it"": ""preserves CTC-Lohr block structure and supplies IT/FISI/EDV pool metadata"","
BPS,BPS,module-manifest.json,673,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,"""kaufm"": ""weights BPS/Jogging generation toward kaufmännisches Rechnen, Bürowissen, Textverständnis and concentration"","
BPS,BPS,module-manifest.json,674,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,"""sozial"": ""weights BPS/Jogging generation toward Pädagogik, Situationen, Textverständnis and concentration"""
BPS,bps,module-manifest.json,680,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,"""app.js buildQuiz/generateQuestionForMode reads EGTBranchQuestionPools and applies weighted branch pools for bps/jogging while preserving legacy fallbacks"""
CTC,CTC,module-manifest.json,685,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,"""CTC-Lohr fixed block sequence remains preserved"","
CTC,CTC,module-manifest.json,710,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,"""CTC-Lohr Festblockstruktur"","
CTC,ctc,module-manifest.json,771,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,"""orchestratorHook"": ""js/app.js:buildQuiz() calls generateQuestionForMode(...) for ctc and non-ctc core questions"","
CTC,ctc,module-manifest.json,771,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,"""orchestratorHook"": ""js/app.js:buildQuiz() calls generateQuestionForMode(...) for ctc and non-ctc core questions"","
CTC,ctcLohr,module-manifest.json,774,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,"""ctcLohr fixed block structure"","
CTC,ctc,module-manifest.json,775,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,"""ctc adaptive-question handoff"","
BPS-Trainer,BPS-Trainer,README_BEREINIGT.md,1,D,Historische Referenz erhalten oder mit Migrationshinweis versehen,# BPS-Trainer G54.47.15H
BPS,BPS,README_BEREINIGT.md,1,D,Historische Referenz erhalten oder mit Migrationshinweis versehen,# BPS-Trainer G54.47.15H
BPS,BPS,index.html,13,A,Sichtbare Marke/Text in G54.48.1 ersetzen,"<meta name=""description"" content=""Offlinefähiger Eignungstest-Trainer für CTC, BPS, Mathe, Logik, Konzentration, Visual IQ und IT/FISI."">"
CTC,CTC,index.html,13,A,Sichtbare Marke/Text in G54.48.1 ersetzen,"<meta name=""description"" content=""Offlinefähiger Eignungstest-Trainer für CTC, BPS, Mathe, Logik, Konzentration, Visual IQ und IT/FISI."">"
CTC,ctc-flowlogic-integration,index.html,148,A,Sichtbare Marke/Text in G54.48.1 ersetzen,"<link rel=""stylesheet"" href=""./css/ctc-flowlogic-integration.css"">"
CTC,ctc-lohr-real-exam,index.html,149,A,Sichtbare Marke/Text in G54.48.1 ersetzen,"<link rel=""stylesheet"" href=""./css/ctc-lohr-real-exam.css"">"
CTC,ctc-lohr-exam-structure-engine,index.html,300,A,Sichtbare Marke/Text in G54.48.1 ersetzen,"<script src=""./js/core/ctc-lohr-exam-structure-engine.js""></script>"
CTC,ctc-simulation-stability-engine,index.html,301,A,Sichtbare Marke/Text in G54.48.1 ersetzen,"<script src=""./js/core/ctc-simulation-stability-engine.js""></script>"
CTC,ctc-admin-report-engine,index.html,302,A,Sichtbare Marke/Text in G54.48.1 ersetzen,"<script src=""./js/core/ctc-admin-report-engine.js""></script>"
CTC,ctc-flowlogic-adapter,index.html,349,A,Sichtbare Marke/Text in G54.48.1 ersetzen,"<script src=""./js/modules/ctc-flowlogic-adapter.js""></script>"
BPS,BPS,manifest.json,4,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,"""description"": ""Offlinefähiger BPS- und Eignungstest-Trainer mit Sprachtraining Deutsch/Englisch A1–C2, Vollsimulation, Admin- und Dozentenbereich."","
CTC,ctc-flowlogic-integration,DATEIINVENTAR.txt,50,A,Sichtbare Marke/Text in G54.48.1 ersetzen,css/ctc-flowlogic-integration.css
CTC,ctc-lohr-real-exam,DATEIINVENTAR.txt,51,A,Sichtbare Marke/Text in G54.48.1 ersetzen,css/ctc-lohr-real-exam.css
CTC,ctc-admin-report-engine,DATEIINVENTAR.txt,138,A,Sichtbare Marke/Text in G54.48.1 ersetzen,js/core/ctc-admin-report-engine.js
CTC,ctc-lohr-exam-structure-engine,DATEIINVENTAR.txt,139,A,Sichtbare Marke/Text in G54.48.1 ersetzen,js/core/ctc-lohr-exam-structure-engine.js
CTC,ctc-simulation-stability-engine,DATEIINVENTAR.txt,140,A,Sichtbare Marke/Text in G54.48.1 ersetzen,js/core/ctc-simulation-stability-engine.js
CTC,ctc-flowlogic-adapter,DATEIINVENTAR.txt,189,A,Sichtbare Marke/Text in G54.48.1 ersetzen,js/modules/ctc-flowlogic-adapter.js
BPS-Trainer,BPS-Trainer,service-worker.js,1,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,/* BPS-Trainer · Service Worker · G54.47.15I (2026-07-11)
BPS,BPS,service-worker.js,1,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,/* BPS-Trainer · Service Worker · G54.47.15I (2026-07-11)
CTC,ctc-flowlogic-integration,service-worker.js,102,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,"""./css/ctc-flowlogic-integration.css"","
CTC,ctc-lohr-real-exam,service-worker.js,103,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,"""./css/ctc-lohr-real-exam.css"","
CTC,ctc-lohr-exam-structure-engine,service-worker.js,134,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,"""./js/core/ctc-lohr-exam-structure-engine.js"","
CTC,ctc-simulation-stability-engine,service-worker.js,135,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,"""./js/core/ctc-simulation-stability-engine.js"","
CTC,ctc-admin-report-engine,service-worker.js,136,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,"""./js/core/ctc-admin-report-engine.js"","
CTC,ctc-flowlogic-adapter,service-worker.js,204,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,"""./js/modules/ctc-flowlogic-adapter.js"","
CTC,ctc-fraction,css/app.css,14,B,Kontrolliert refaktorieren; Import/Export/Selektor prüfen,".jump-grid{display:grid;grid-template-columns:1fr 1fr;gap:12px;text-align:left}.jump-card,.error-line,.jump-code,.concentration-rule,.ctc-fraction{background:rgba(8,18,39,.72);border:1px solid var(--border);border-radius:14px}.jump-card{pad"
CTC,ctc-fraction-grid,css/app.css,14,B,Kontrolliert refaktorieren; Import/Export/Selektor prüfen,".jump-grid{display:grid;grid-template-columns:1fr 1fr;gap:12px;text-align:left}.jump-card,.error-line,.jump-code,.concentration-rule,.ctc-fraction{background:rgba(8,18,39,.72);border:1px solid var(--border);border-radius:14px}.jump-card{pad"
CTC,ctc-fraction,css/app.css,14,B,Kontrolliert refaktorieren; Import/Export/Selektor prüfen,".jump-grid{display:grid;grid-template-columns:1fr 1fr;gap:12px;text-align:left}.jump-card,.error-line,.jump-code,.concentration-rule,.ctc-fraction{background:rgba(8,18,39,.72);border:1px solid var(--border);border-radius:14px}.jump-card{pad"
CTC,ctc-fraction,css/app.css,14,B,Kontrolliert refaktorieren; Import/Export/Selektor prüfen,".jump-grid{display:grid;grid-template-columns:1fr 1fr;gap:12px;text-align:left}.jump-card,.error-line,.jump-code,.concentration-rule,.ctc-fraction{background:rgba(8,18,39,.72);border:1px solid var(--border);border-radius:14px}.jump-card{pad"
CTC,CTC,css/ctc-flowlogic-integration.css,1,B,Kontrolliert refaktorieren; Import/Export/Selektor prüfen,/* G54.1 · CTC FlowLogic Integration · NUR Simulation → IT/FISI → CTC */
CTC,CTC,css/ctc-flowlogic-integration.css,1,B,Kontrolliert refaktorieren; Import/Export/Selektor prüfen,/* G54.1 · CTC FlowLogic Integration · NUR Simulation → IT/FISI → CTC */
CTC,ctc-flowlogic-intro,css/ctc-flowlogic-integration.css,2,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-intro{display:grid;gap:12px;margin:0 0 14px;padding:16px;border:1px solid rgba(125,211,252,.25);border-radius:22px;background:linear-gradient(135deg,rgba(15,23,42,.92),rgba(30,41,59,.76));box-shadow:0 18px 45px rgba(0,0,0,.22"
CTC,ctc-flowlogic-title,css/ctc-flowlogic-integration.css,3,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-title{display:flex;align-items:center;gap:12px;font-size:1rem}.ctc-flowlogic-title>span{display:grid;place-items:center;width:42px;height:42px;border-radius:16px;background:rgba(59,130,246,.18);box-shadow:inset 0 0 0 1px rgba"
CTC,ctc-flowlogic-title,css/ctc-flowlogic-integration.css,3,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-title{display:flex;align-items:center;gap:12px;font-size:1rem}.ctc-flowlogic-title>span{display:grid;place-items:center;width:42px;height:42px;border-radius:16px;background:rgba(59,130,246,.18);box-shadow:inset 0 0 0 1px rgba"
CTC,ctc-flowlogic-title,css/ctc-flowlogic-integration.css,3,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-title{display:flex;align-items:center;gap:12px;font-size:1rem}.ctc-flowlogic-title>span{display:grid;place-items:center;width:42px;height:42px;border-radius:16px;background:rgba(59,130,246,.18);box-shadow:inset 0 0 0 1px rgba"
CTC,ctc-flowlogic-title,css/ctc-flowlogic-integration.css,3,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-title{display:flex;align-items:center;gap:12px;font-size:1rem}.ctc-flowlogic-title>span{display:grid;place-items:center;width:42px;height:42px;border-radius:16px;background:rgba(59,130,246,.18);box-shadow:inset 0 0 0 1px rgba"
CTC,ctc-flowlogic-rules,css/ctc-flowlogic-integration.css,3,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-title{display:flex;align-items:center;gap:12px;font-size:1rem}.ctc-flowlogic-title>span{display:grid;place-items:center;width:42px;height:42px;border-radius:16px;background:rgba(59,130,246,.18);box-shadow:inset 0 0 0 1px rgba"
CTC,ctc-flowlogic-rules,css/ctc-flowlogic-integration.css,3,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-title{display:flex;align-items:center;gap:12px;font-size:1rem}.ctc-flowlogic-title>span{display:grid;place-items:center;width:42px;height:42px;border-radius:16px;background:rgba(59,130,246,.18);box-shadow:inset 0 0 0 1px rgba"
CTC,ctc-flowlogic-rules,css/ctc-flowlogic-integration.css,3,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-title{display:flex;align-items:center;gap:12px;font-size:1rem}.ctc-flowlogic-title>span{display:grid;place-items:center;width:42px;height:42px;border-radius:16px;background:rgba(59,130,246,.18);box-shadow:inset 0 0 0 1px rgba"
CTC,ctc-flowlogic-rules,css/ctc-flowlogic-integration.css,3,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-title{display:flex;align-items:center;gap:12px;font-size:1rem}.ctc-flowlogic-title>span{display:grid;place-items:center;width:42px;height:42px;border-radius:16px;background:rgba(59,130,246,.18);box-shadow:inset 0 0 0 1px rgba"
CTC,ctc-flowlogic-example,css/ctc-flowlogic-integration.css,3,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-title{display:flex;align-items:center;gap:12px;font-size:1rem}.ctc-flowlogic-title>span{display:grid;place-items:center;width:42px;height:42px;border-radius:16px;background:rgba(59,130,246,.18);box-shadow:inset 0 0 0 1px rgba"
CTC,ctc-flowlogic-time,css/ctc-flowlogic-integration.css,3,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-title{display:flex;align-items:center;gap:12px;font-size:1rem}.ctc-flowlogic-title>span{display:grid;place-items:center;width:42px;height:42px;border-radius:16px;background:rgba(59,130,246,.18);box-shadow:inset 0 0 0 1px rgba"
CTC,ctc-flowlogic-time,css/ctc-flowlogic-integration.css,3,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-title{display:flex;align-items:center;gap:12px;font-size:1rem}.ctc-flowlogic-title>span{display:grid;place-items:center;width:42px;height:42px;border-radius:16px;background:rgba(59,130,246,.18);box-shadow:inset 0 0 0 1px rgba"
CTC,ctc-flowlogic-host,css/ctc-flowlogic-integration.css,4,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-host{width:100%;min-height:520px}.ctc-flowlogic-host .flowlogic-input-root{display:grid;grid-template-columns:minmax(0,1.45fr) minmax(320px,.75fr);gap:16px;align-items:start}.ctc-flowlogic-host .flowlogic-renderer-root,.ctc-f"
CTC,ctc-flowlogic-host,css/ctc-flowlogic-integration.css,4,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-host{width:100%;min-height:520px}.ctc-flowlogic-host .flowlogic-input-root{display:grid;grid-template-columns:minmax(0,1.45fr) minmax(320px,.75fr);gap:16px;align-items:start}.ctc-flowlogic-host .flowlogic-renderer-root,.ctc-f"
CTC,ctc-flowlogic-host,css/ctc-flowlogic-integration.css,4,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-host{width:100%;min-height:520px}.ctc-flowlogic-host .flowlogic-input-root{display:grid;grid-template-columns:minmax(0,1.45fr) minmax(320px,.75fr);gap:16px;align-items:start}.ctc-flowlogic-host .flowlogic-renderer-root,.ctc-f"
CTC,ctc-flowlogic-host,css/ctc-flowlogic-integration.css,4,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-host{width:100%;min-height:520px}.ctc-flowlogic-host .flowlogic-input-root{display:grid;grid-template-columns:minmax(0,1.45fr) minmax(320px,.75fr);gap:16px;align-items:start}.ctc-flowlogic-host .flowlogic-renderer-root,.ctc-f"
CTC,ctc-flowlogic-host,css/ctc-flowlogic-integration.css,4,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-host{width:100%;min-height:520px}.ctc-flowlogic-host .flowlogic-input-root{display:grid;grid-template-columns:minmax(0,1.45fr) minmax(320px,.75fr);gap:16px;align-items:start}.ctc-flowlogic-host .flowlogic-renderer-root,.ctc-f"
CTC,ctc-flowlogic-host,css/ctc-flowlogic-integration.css,4,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-host{width:100%;min-height:520px}.ctc-flowlogic-host .flowlogic-input-root{display:grid;grid-template-columns:minmax(0,1.45fr) minmax(320px,.75fr);gap:16px;align-items:start}.ctc-flowlogic-host .flowlogic-renderer-root,.ctc-f"
CTC,ctc-flowlogic-host,css/ctc-flowlogic-integration.css,4,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-host{width:100%;min-height:520px}.ctc-flowlogic-host .flowlogic-input-root{display:grid;grid-template-columns:minmax(0,1.45fr) minmax(320px,.75fr);gap:16px;align-items:start}.ctc-flowlogic-host .flowlogic-renderer-root,.ctc-f"
CTC,ctc-flowlogic-host,css/ctc-flowlogic-integration.css,4,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-host{width:100%;min-height:520px}.ctc-flowlogic-host .flowlogic-input-root{display:grid;grid-template-columns:minmax(0,1.45fr) minmax(320px,.75fr);gap:16px;align-items:start}.ctc-flowlogic-host .flowlogic-renderer-root,.ctc-f"
CTC,ctc-flowlogic-host,css/ctc-flowlogic-integration.css,4,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-host{width:100%;min-height:520px}.ctc-flowlogic-host .flowlogic-input-root{display:grid;grid-template-columns:minmax(0,1.45fr) minmax(320px,.75fr);gap:16px;align-items:start}.ctc-flowlogic-host .flowlogic-renderer-root,.ctc-f"
CTC,ctc-flowlogic-host,css/ctc-flowlogic-integration.css,4,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-host{width:100%;min-height:520px}.ctc-flowlogic-host .flowlogic-input-root{display:grid;grid-template-columns:minmax(0,1.45fr) minmax(320px,.75fr);gap:16px;align-items:start}.ctc-flowlogic-host .flowlogic-renderer-root,.ctc-f"
CTC,ctc-flowlogic-host,css/ctc-flowlogic-integration.css,4,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-host{width:100%;min-height:520px}.ctc-flowlogic-host .flowlogic-input-root{display:grid;grid-template-columns:minmax(0,1.45fr) minmax(320px,.75fr);gap:16px;align-items:start}.ctc-flowlogic-host .flowlogic-renderer-root,.ctc-f"
CTC,ctc-flowlogic-host,css/ctc-flowlogic-integration.css,4,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-host{width:100%;min-height:520px}.ctc-flowlogic-host .flowlogic-input-root{display:grid;grid-template-columns:minmax(0,1.45fr) minmax(320px,.75fr);gap:16px;align-items:start}.ctc-flowlogic-host .flowlogic-renderer-root,.ctc-f"
CTC,ctc-flowlogic-host,css/ctc-flowlogic-integration.css,4,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-host{width:100%;min-height:520px}.ctc-flowlogic-host .flowlogic-input-root{display:grid;grid-template-columns:minmax(0,1.45fr) minmax(320px,.75fr);gap:16px;align-items:start}.ctc-flowlogic-host .flowlogic-renderer-root,.ctc-f"
CTC,ctc-flowlogic-host,css/ctc-flowlogic-integration.css,4,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-host{width:100%;min-height:520px}.ctc-flowlogic-host .flowlogic-input-root{display:grid;grid-template-columns:minmax(0,1.45fr) minmax(320px,.75fr);gap:16px;align-items:start}.ctc-flowlogic-host .flowlogic-renderer-root,.ctc-f"
CTC,ctc-flowlogic-host,css/ctc-flowlogic-integration.css,4,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-host{width:100%;min-height:520px}.ctc-flowlogic-host .flowlogic-input-root{display:grid;grid-template-columns:minmax(0,1.45fr) minmax(320px,.75fr);gap:16px;align-items:start}.ctc-flowlogic-host .flowlogic-renderer-root,.ctc-f"
CTC,ctc-flowlogic-host,css/ctc-flowlogic-integration.css,4,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-host{width:100%;min-height:520px}.ctc-flowlogic-host .flowlogic-input-root{display:grid;grid-template-columns:minmax(0,1.45fr) minmax(320px,.75fr);gap:16px;align-items:start}.ctc-flowlogic-host .flowlogic-renderer-root,.ctc-f"
CTC,ctc-flowlogic-host,css/ctc-flowlogic-integration.css,4,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-host{width:100%;min-height:520px}.ctc-flowlogic-host .flowlogic-input-root{display:grid;grid-template-columns:minmax(0,1.45fr) minmax(320px,.75fr);gap:16px;align-items:start}.ctc-flowlogic-host .flowlogic-renderer-root,.ctc-f"
CTC,ctc-flowlogic-host,css/ctc-flowlogic-integration.css,4,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-host{width:100%;min-height:520px}.ctc-flowlogic-host .flowlogic-input-root{display:grid;grid-template-columns:minmax(0,1.45fr) minmax(320px,.75fr);gap:16px;align-items:start}.ctc-flowlogic-host .flowlogic-renderer-root,.ctc-f"
CTC,ctc-flowlogic-host,css/ctc-flowlogic-integration.css,4,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-host{width:100%;min-height:520px}.ctc-flowlogic-host .flowlogic-input-root{display:grid;grid-template-columns:minmax(0,1.45fr) minmax(320px,.75fr);gap:16px;align-items:start}.ctc-flowlogic-host .flowlogic-renderer-root,.ctc-f"
CTC,ctc-flowlogic-submit-panel,css/ctc-flowlogic-integration.css,4,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-host{width:100%;min-height:520px}.ctc-flowlogic-host .flowlogic-input-root{display:grid;grid-template-columns:minmax(0,1.45fr) minmax(320px,.75fr);gap:16px;align-items:start}.ctc-flowlogic-host .flowlogic-renderer-root,.ctc-f"
CTC,ctc-flowlogic-host,css/ctc-flowlogic-integration.css,4,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-host{width:100%;min-height:520px}.ctc-flowlogic-host .flowlogic-input-root{display:grid;grid-template-columns:minmax(0,1.45fr) minmax(320px,.75fr);gap:16px;align-items:start}.ctc-flowlogic-host .flowlogic-renderer-root,.ctc-f"
CTC,ctc-flowlogic-submit-panel,css/ctc-flowlogic-integration.css,4,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-host{width:100%;min-height:520px}.ctc-flowlogic-host .flowlogic-input-root{display:grid;grid-template-columns:minmax(0,1.45fr) minmax(320px,.75fr);gap:16px;align-items:start}.ctc-flowlogic-host .flowlogic-renderer-root,.ctc-f"
CTC,ctc-flowlogic-host,css/ctc-flowlogic-integration.css,4,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-host{width:100%;min-height:520px}.ctc-flowlogic-host .flowlogic-input-root{display:grid;grid-template-columns:minmax(0,1.45fr) minmax(320px,.75fr);gap:16px;align-items:start}.ctc-flowlogic-host .flowlogic-renderer-root,.ctc-f"
CTC,ctc-flowlogic-host,css/ctc-flowlogic-integration.css,4,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-host{width:100%;min-height:520px}.ctc-flowlogic-host .flowlogic-input-root{display:grid;grid-template-columns:minmax(0,1.45fr) minmax(320px,.75fr);gap:16px;align-items:start}.ctc-flowlogic-host .flowlogic-renderer-root,.ctc-f"
CTC,ctc-flowlogic-host,css/ctc-flowlogic-integration.css,4,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-host{width:100%;min-height:520px}.ctc-flowlogic-host .flowlogic-input-root{display:grid;grid-template-columns:minmax(0,1.45fr) minmax(320px,.75fr);gap:16px;align-items:start}.ctc-flowlogic-host .flowlogic-renderer-root,.ctc-f"
CTC,ctc-flowlogic-host,css/ctc-flowlogic-integration.css,4,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-host{width:100%;min-height:520px}.ctc-flowlogic-host .flowlogic-input-root{display:grid;grid-template-columns:minmax(0,1.45fr) minmax(320px,.75fr);gap:16px;align-items:start}.ctc-flowlogic-host .flowlogic-renderer-root,.ctc-f"
CTC,ctc-flowlogic-host,css/ctc-flowlogic-integration.css,4,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-host{width:100%;min-height:520px}.ctc-flowlogic-host .flowlogic-input-root{display:grid;grid-template-columns:minmax(0,1.45fr) minmax(320px,.75fr);gap:16px;align-items:start}.ctc-flowlogic-host .flowlogic-renderer-root,.ctc-f"
CTC,ctc-flowlogic-submit-panel,css/ctc-flowlogic-integration.css,4,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-host{width:100%;min-height:520px}.ctc-flowlogic-host .flowlogic-input-root{display:grid;grid-template-columns:minmax(0,1.45fr) minmax(320px,.75fr);gap:16px;align-items:start}.ctc-flowlogic-host .flowlogic-renderer-root,.ctc-f"
CTC,ctc-flowlogic-submit-panel,css/ctc-flowlogic-integration.css,4,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-host{width:100%;min-height:520px}.ctc-flowlogic-host .flowlogic-input-root{display:grid;grid-template-columns:minmax(0,1.45fr) minmax(320px,.75fr);gap:16px;align-items:start}.ctc-flowlogic-host .flowlogic-renderer-root,.ctc-f"
CTC,ctc-flowlogic-result-summary,css/ctc-flowlogic-integration.css,4,A,Sichtbare Marke/Text in G54.48.1 ersetzen,".ctc-flowlogic-host{width:100%;min-height:520px}.ctc-flowlogic-host .flowlogic-input-root{display:grid;grid-template-columns:minmax(0,1.45fr) minmax(320px,.75fr);gap:16px;align-items:start}.ctc-flowlogic-host .flowlogic-renderer-root,.ctc-f"
